Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"MB (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"MB (EN)",
"50190420000",38,0,6,4,49,
"50190430000",29,0,0,0,38,
"50190440000",23,0,9,0,30,
"50190450000",20,4,8,3,35,
"50190480000",21,0,5,3,35,
"50191010000",0,0,0,0,0,
"50187180000",35,0,7,4,38,
"50190750000",10,0,7,5,23,
"50190760000",22,0,13,9,41,
"50190770000",31,3,12,5,47,
"50190120000",18,0,78,21,120,
"50190130000",5,0,28,14,45,
"50190801000",0,0,0,0,0,
"50190802000",0,0,0,0,0,
"50191000000",44,0,20,0,74,
"50191040000",19,0,12,4,26,
"50187120000",28,0,0,4,31,
"50190242000",23,0,3,4,28,
"50190340000",25,0,4,7,33,
"50190350000",27,0,5,3,37,
"50190370000",35,0,11,7,47,
"50190490000",0,0,0,0,0,
"50190500000",0,0,0,0,0,
"50190510000",23,0,10,3,37,
"50190520000",20,0,13,3,34,
"50190530000",0,0,0,0,0,
"50190540000",24,0,15,14,52,
"50190550000",40,0,12,10,58,
"50190560000",17,0,10,0,26,
"50190570000",38,0,13,4,54,
"50190580000",36,0,6,4,49,
"50190590000",28,0,14,9,46,
"50190600000",23,0,8,3,35,
"50190620000",25,0,3,7,33,
"50190630000",31,0,3,4,34,
"50190640000",45,0,6,11,57,
"50191490000",22,0,8,0,35,
"50191500000",26,0,12,0,37,
"50191510000",29,0,10,4,46,
"50191520000",19,0,17,0,35,
"50191530000",21,0,12,5,43,
"50191450000",26,0,20,6,56,
"50191461000",11,0,6,4,19,
"50191462000",16,0,3,3,19,
"50191470000",16,0,12,0,26,
"50191480000",26,0,29,4,60,
"50377070000",0,0,0,0,0,
"50377080000",0,0,0,0,0,
"50195554100",47,0,7,8,66,
"50195554200",23,0,3,3,30,
"50195554300",19,0,0,0,16,
"50195555100",94,0,50,26,168,
"50195556100",44,0,5,3,53,
"50195556200",41,0,0,5,48,
"50195556300",41,0,4,9,62,
"50195556400",133,4,15,4,159,
"50190380000",34,0,13,0,44,
"50190390000",37,0,12,5,52,
"50190400000",29,0,11,9,44,
"50190460000",0,0,0,0,0,
"50190470000",28,0,12,4,39,
"50189960000",0,0,0,0,0,
"50189970000",21,0,4,7,31,
"50189982000",33,0,12,12,58,
"50191442000",0,0,3,0,7,
"50191540000",0,0,0,0,0,
"50191550000",0,0,0,0,0,
"50191560000",28,0,9,6,39,
"50191572000",26,0,4,6,35,
"50377290000",0,0,0,0,0,
"50377300000",0,0,0,0,0,
"50391505700",5,0,10,6,22,
"50391532100",52,0,15,12,79,
"50391655300",21,0,6,11,42,
"50391794700",24,0,4,3,33,
"50391930700",217,3,93,28,348,
"50391937100",22,0,9,8,45,
"50391949300",19,0,18,3,40,
"50187210000",14,0,9,5,21,
"50187230000",0,0,0,0,0,
"50187250000",16,0,7,21,47,
"50190080000",13,0,17,18,43,
"50191250000",14,0,10,14,35,
"50191280000",14,0,6,8,23,
"50191300000",27,0,14,10,57,
"50191321000",11,0,17,19,43,
"50191322000",12,0,6,12,32,
"50376820000",0,0,0,0,0,
"50391516200",27,0,28,29,83,
"50190000000",31,0,3,4,42,
"50190010000",16,0,11,0,34,
"50190021000",23,0,15,0,38,
"50190022000",9,5,8,0,13,
"50189990000",0,0,0,0,0,
"50191380000",18,0,10,0,28,
"50191390000",26,0,6,6,36,
"50191400000",30,0,7,3,48,
"50191410000",34,0,8,0,44,
"50191420000",31,0,13,7,46,
"50191430000",20,0,10,4,37,
"50191590000",18,0,13,0,31,
"50191600000",23,0,10,34,68,
"50191610000",19,0,3,4,24,
"50191651000",0,0,0,0,0,
"50191652000",25,0,0,25,53,
"50191680000",25,0,3,13,45,
"50191690000",15,0,0,7,21,
"50376910000",0,0,0,0,0,
"50391434200",14,0,12,0,25,
"50391445100",0,0,0,0,0,
"50391446900",19,0,10,9,43,
"50391454600",25,0,3,15,42,
"50391561900",0,0,0,0,0,
"50391707300",11,0,13,12,32,
"50191030000",0,0,0,0,0,
"50191050000",28,0,11,3,47,
"50191061000",18,0,11,3,38,
"50191062000",3,0,5,0,9,
"50191070000",0,0,0,0,0,
"50191080000",23,0,6,9,34,
"50190610000",27,0,8,6,40,
"50190662000",37,0,7,5,50,
"50190672000",10,0,5,0,13,
"50376860000",0,0,0,0,0,
"50391560300",20,0,5,4,29,
"50391653700",13,0,4,0,18,
"50189911000",25,0,3,3,30,
"50189920000",23,0,7,4,36,
"50189931000",12,0,7,0,21,
"50189932000",13,0,0,0,13,
"50189941000",13,0,3,5,18,
"50189942000",11,0,0,0,10,
"50391525600",32,0,13,14,60,
"50391536700",17,0,4,6,35,
"50391933500",0,0,0,0,0,
"50189900000",87,0,146,13,247,
