Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by IRSAD Deciles at SA1 Level (Area)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"IRSAD Deciles at SA1 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Total",
"SA1 (EN)",
"50301103016",0,0,0,0,0,0,0,0,0,185,185,
"50301103017",0,0,0,0,0,0,0,0,0,135,135,
"50301103018",0,0,0,0,0,0,0,0,0,199,199,
"50301103101",0,0,0,0,0,0,0,117,0,0,117,
"50301103102",0,0,0,0,0,0,0,0,0,0,0,
"50301103104",0,0,0,0,0,0,0,0,0,169,169,
"50301103105",0,0,0,0,0,0,0,0,0,167,167,
"50301103106",0,0,0,0,0,0,0,0,252,0,252,
"50301103107",0,0,0,0,0,0,0,0,194,0,194,
"50301103108",0,0,0,0,0,0,0,0,284,0,284,
"50301103109",0,0,0,0,0,0,0,0,0,120,120,
"50301103110",0,0,0,0,0,0,0,109,0,0,109,
"50301103111",0,0,0,0,0,0,0,247,0,0,247,
"50301103112",0,0,0,0,0,0,0,0,149,0,149,
"50301103113",0,0,0,0,0,0,0,0,0,157,157,
"50301103114",0,0,0,0,0,0,0,0,376,0,376,
"50301103115",0,0,0,0,0,0,0,0,0,185,185,
"50301103117",0,0,0,0,0,0,0,0,214,0,214,
"50301103118",0,0,0,0,0,0,0,183,0,0,183,
"50301103119",0,0,0,0,0,0,0,0,264,0,264,
"50301103120",0,0,0,0,0,0,299,0,0,0,299,
"50301103121",0,0,0,0,0,0,0,267,0,0,267,
"50301103122",0,0,0,0,0,0,0,0,0,315,315,
"50301103123",0,0,0,0,0,0,0,0,267,0,267,
"50301103124",0,0,0,0,0,0,0,0,0,264,264,
"50301103125",0,0,0,0,0,0,0,0,0,0,0,
"50301103201",0,0,0,0,0,0,0,0,173,0,173,
"50301103202",0,0,0,0,0,0,0,0,0,153,153,
"50301103203",0,0,0,0,0,0,0,0,0,228,228,
"50301103204",0,0,0,0,0,0,0,0,0,151,151,
"50301103205",0,0,0,0,0,0,0,0,0,157,157,
"50301103206",0,0,0,0,0,0,0,0,0,131,131,
"50301103207",0,0,0,0,0,0,0,0,0,286,286,
"50301103208",0,0,0,0,0,0,0,0,0,126,126,
"50301103209",0,0,0,0,0,0,0,0,0,266,266,
"50301103210",0,0,0,0,0,0,0,0,0,170,170,
"50301103211",0,0,0,0,0,0,0,0,0,210,210,
"50301103212",0,0,0,0,0,0,0,0,0,210,210,
"50301103213",0,0,0,0,0,0,0,0,0,227,227,
"50301103214",0,0,0,0,0,0,0,0,0,154,154,
"50301103215",0,0,0,0,0,0,0,0,0,322,322,
"50301103216",0,0,0,0,0,0,0,0,0,141,141,
"50301103217",0,0,0,0,0,0,0,0,0,194,194,
"50301103218",0,0,0,0,0,0,0,0,0,195,195,
"50301103301",0,0,0,0,0,0,0,0,0,114,114,
"50301103302",0,0,0,0,0,0,0,0,0,112,112,
"50301103303",0,0,0,0,0,0,0,0,0,180,180,
"50301103304",0,0,0,0,0,0,0,0,0,103,103,
"50301103305",0,0,0,0,0,0,0,0,0,172,172,
"50301103306",0,0,0,0,0,0,0,0,0,136,136,
"50301103307",0,0,0,0,0,0,0,0,0,162,162,
"50301103308",0,0,0,0,0,0,0,0,0,0,0,
"50301103309",0,0,0,0,0,0,0,0,0,103,103,
"50301103310",0,0,0,0,0,0,0,0,0,112,112,
"50301103311",0,0,0,0,0,0,0,0,0,104,104,
"50301103312",0,0,0,0,0,0,0,0,0,162,162,
"50301103313",0,0,0,0,0,0,0,0,0,82,82,
"50301103314",0,0,0,0,0,0,0,0,0,438,438,
"50301103315",0,0,0,0,0,0,0,0,0,167,167,
"50301103316",0,0,0,0,0,0,0,0,0,108,108,
"50301103317",0,0,0,0,0,0,0,0,0,121,121,
"50301103318",0,0,0,0,0,0,0,0,0,121,121,
"50301103319",0,0,0,0,0,0,0,0,0,136,136,
"50301103320",0,0,0,0,0,0,0,0,0,211,211,
"50301103321",0,0,0,0,0,0,0,0,0,120,120,
"50301103322",0,0,0,0,0,0,0,0,0,104,104,
"50301103401",0,0,0,0,0,0,0,0,107,0,107,
"50301103402",0,0,0,0,0,0,0,0,0,100,100,
"50301103403",0,0,0,0,0,0,0,0,0,258,258,
"50301103404",0,0,0,0,0,0,0,0,0,139,139,
"50301103405",0,0,0,0,0,0,0,0,0,204,204,
"50301103406",0,0,0,0,0,0,0,225,0,0,225,
"50301103407",0,0,0,0,0,0,0,0,0,182,182,
"50301103408",0,0,0,0,0,0,0,0,0,134,134,
"50301103409",0,0,0,0,0,0,0,0,0,199,199,
"50301103410",0,0,0,0,0,0,0,0,0,209,209,
"50301103411",0,0,0,0,0,0,0,0,0,112,112,
"50301103412",0,0,0,0,0,0,0,0,0,114,114,
"50301103413",0,0,0,0,0,416,0,0,0,0,416,
"50301103414",0,0,0,0,0,0,0,236,0,0,236,
"50301103415",0,0,0,325,0,0,0,0,0,0,325,
"50301103416",0,0,0,0,0,0,0,0,0,179,179,
"50301103417",0,0,0,0,0,0,0,0,0,126,126,
"50301103418",0,0,0,0,0,0,0,0,0,109,109,
"50301103419",0,0,0,0,0,0,0,0,0,103,103,
"50301103420",0,0,0,0,0,0,0,0,217,0,217,
"50301103421",0,0,0,0,442,0,0,0,0,0,442,
"50301103422",0,0,0,0,0,0,0,0,0,135,135,
"50301103423",0,0,0,0,0,0,0,0,0,141,141,
"50301103424",0,0,0,0,0,327,0,0,0,0,327,
"50301103501",0,0,0,0,0,0,0,0,0,89,89,
"50301103502",0,0,0,0,0,0,0,0,0,0,0,
"50301103503",0,0,0,0,0,0,0,0,0,170,170,
"50301103504",0,0,0,0,285,0,0,0,0,0,285,
"50301103505",0,0,0,0,0,0,0,326,0,0,326,
"50301103506",0,0,0,0,0,0,0,219,0,0,219,
"50301103507",0,0,0,0,0,0,172,0,0,0,172,
"50301103508",0,0,0,0,0,0,0,0,0,18,18,
"50301103509",0,0,0,0,0,0,0,0,0,65,65,
"50301103510",0,0,0,0,0,0,0,0,0,239,239,
"50301103511",0,0,0,0,0,0,0,0,0,184,184,
"50301103512",0,0,0,0,0,0,0,0,0,242,242,
"50301103513",0,0,0,0,0,0,0,0,0,215,215,
"50301103514",0,0,0,0,0,0,0,0,0,190,190,
"50301103515",0,0,0,0,0,0,0,0,0,113,113,
"50301103516",0,0,0,0,0,0,0,0,0,153,153,
"50301103517",0,0,0,0,0,0,0,0,0,164,164,
"50301103518",0,0,0,0,0,0,0,0,0,124,124,
"50301103519",0,0,0,0,0,0,0,0,0,119,119,
"50301103520",0,0,0,0,0,0,0,0,0,147,147,
"50301103521",0,0,0,0,0,0,0,0,385,0,385,
"50301103522",0,0,0,0,0,0,0,0,0,0,0,
"50301103523",0,0,0,0,0,0,0,0,369,0,369,
"50301103524",0,0,0,0,0,0,91,0,0,0,91,
"50301103525",0,0,0,0,0,0,0,0,0,207,207,
"50301103526",0,0,0,0,0,0,0,0,0,127,127,
"50301103527",0,0,0,0,0,0,0,0,0,169,169,
"50301103528",0,0,0,0,0,0,0,0,0,201,201,
"50301103529",0,0,0,0,0,0,0,0,0,133,133,
"50301103530",0,0,0,0,0,0,0,0,0,123,123,
